request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
158f8249-c114-4e59-ba21-da266a561d93,ar-dist-0884,3756032.281931295,3756033.166851565,3756033.642573965,3901,36,0.884920269716531,0.4757224000059068
2319aea2-7748-4536-b2d3-63d27c11f8dc,ar-dist-0637,3756032.505513686,3756033.2790083564,3756033.9724876103,3901,45,0.7734946701675653,0.6934792539104819
b4827284-ed8d-4a75-863d-63fa26bc3414,ar-dist-0126,3756032.6158437,3756033.3468412864,3756033.9726686096,1501,38,0.7309975866228342,0.625827323179692
aec781b2-07df-4e24-8c3c-8fe38ecc2232,ar-dist-0636,3756032.473015685,3756033.2036499605,3756034.16826598,3901,50,0.7306342753581703,0.964616019744426
2a7e9535-785c-4c28-a706-993e40bb74b3,ar-dist-0174,3756032.949229078,3756033.504670139,3756034.586269759,2501,54,0.5554410610347986,1.0815996201708913
5dbc9f18-bb8c-40a4-9d84-c0a4384a33f0,ar-dist-0222,3756033.171361761,3756033.641944223,3756034.860763763,2501,51,0.47058246191591024,1.2188195399940014
94abcd97-7e8c-4402-b974-71aef4c5aabb,ar-dist-0698,3756033.393420073,3756034.071039482,3756035.05941242,3901,43,0.6776194088160992,0.9883729377761483
e67dfbae-d7dc-499a-916f-2b87621f6bb8,ar-dist-0325,3756033.059829463,3756033.642356666,3756035.2163263275,3251,57,0.5825272030197084,1.5739696617238224
c0e8f249-8013-4aee-bc2b-174c3c0ad9fd,ar-dist-0746,3756033.615213163,3756034.3263754435,3756035.2164224284,3901,43,0.7111622802913189,0.8900469848886132
4ff93e4a-ff2a-4088-8da6-57fc87ae0f7c,ar-dist-0610,3756033.838037065,3756034.585275275,3756035.411349213,3741,44,0.7472382099367678,0.826073938049376
1fbc913f-95a7-443d-8570-385daad3fbd7,ar-dist-0526,3756033.50494733,3756034.2502839845,3756035.4561391426,3741,40,0.7453366545960307,1.2058551581576467
43899a3f-249f-41e3-83d7-cf506c59c678,ar-dist-0701,3756034.170723128,3756034.955812492,3756035.456201455,3901,33,0.785089363809675,0.5003889631479979
27cb5fa9-fc40-4d07-9773-0d3b5d810dee,ar-dist-0583,3756032.726990496,3756033.378846653,3756035.509670864,3741,73,0.6518561569973826,2.1308242110535502
b1811d8b-9539-492c-ad43-b23f1e8a32da,ar-dist-0236,3756034.061163818,3756034.762018781,3756035.509737775,2501,43,0.700854963157326,0.7477189940400422
258a1808-c6d0-4111-b235-90c0a16fb325,ar-dist-0357,3756033.72680191,3756034.508711338,3756035.5625410317,3741,48,0.7819094280712306,1.0538296937011182
3ea91a75-e2c1-44da-85c3-76a247efc424,ar-dist-0331,3756033.948492708,3756034.664644724,3756035.7011769763,3741,53,0.7161520160734653,1.0365322520956397
c4a7f239-02cf-4075-80ad-918679e3108e,ar-dist-0256,3756033.282462027,3756033.8922742787,3756035.701243626,3251,72,0.6098122517578304,1.8089693472720683
1d2e94a2-40ee-4b5b-aceb-b6f02542c2e9,ar-dist-0944,3756034.504389744,3756035.309859183,3756035.725176217,3901,46,0.8054694393649697,0.4153170338831842
6c70089e-2884-4cbd-9bfb-3ff013eb5f60,ar-dist-0180,3756034.838356346,3756035.417128231,3756035.725255325,2501,44,0.5787718850187957,0.30812709406018257
badf472e-2d2c-424c-8867-6d730db0378d,ar-dist-0220,3756032.837852511,3756033.462490105,3756035.744111669,2501,79,0.6246375939808786,2.2816215637139976
cea1d6ee-eafc-445d-9bd4-1de5eb3aef52,ar-dist-0723,3756034.282703896,3756035.058433257,3756035.7442145,3901,56,0.7757293609902263,0.6857812427915633
27d62d5e-d3f0-459e-9a1b-973089e23129,ar-dist-0324,3756034.393677021,3756035.214098122,3756035.834492354,3251,61,0.8204211010597646,0.6203942322172225
11e28a1f-5292-4005-b937-11f01887079c,ar-dist-0383,3756034.615728508,3756035.3665998513,3756035.8346349234,3741,62,0.7508713430725038,0.4680350720882416
6dabe3e2-4406-4db0-a680-e0f850b733f1,ar-dist-0031,3756035.171086626,3756035.5123504433,3756035.849708163,851,54,0.34126381715759635,0.3373577198944986
0a12e4ed-1cfe-4252-8c34-3e689eb1f96a,ar-dist-0883,3756035.504682267,3756035.780564942,3756035.895934429,3901,34,0.2758826748467982,0.11536948708817363
b5e6672a-6197-4a72-8ae4-1ec00c1a54ce,ar-dist-0276,3756035.059657881,3756035.512660865,3756035.89609347,3251,44,0.4530029841698706,0.38343260483816266
5c15a044-cb09-474e-bd21-d2d095ee934b,ar-dist-0254,3756034.94928877,3756035.5083324,3756035.896126529,3251,49,0.5590436300262809,0.3877941290847957
ab759086-922b-4e42-b0a0-3bb264cb6c4f,ar-dist-0213,3756035.394305366,3756035.700383873,3756036.2884494644,2501,63,0.3060785070993006,0.5880655911751091
cc18f49f-7b45-4a86-87b6-0c43a9162163,ar-dist-0172,3756035.281995529,3756035.522073505,3756036.299009499,2501,60,0.24007797613739967,0.7769359941594303
766e06ba-5805-44ba-a432-cdbf64f8078b,ar-dist-0709,3756034.726462631,3756035.409555608,3756036.4203275847,3901,74,0.6830929769203067,1.0107719767838717
fdb74041-f113-4d3d-a5c7-d8defd974c81,ar-dist-0629,3756035.838019445,3756036.2392435893,3756036.5495690294,3901,34,0.40122414426878095,0.3103254400193691
746c8013-39c3-475f-b711-05dd687db642,ar-dist-0063,3756035.615933301,3756035.830020888,3756036.848975578,1501,83,0.2140875868499279,1.018954690080136
9f0bf6df-dbe0-42e7-9fd9-d1112703dd0a,ar-dist-0247,3756035.726672521,3756035.894601674,3756036.9798663836,2501,66,0.16792915295809507,1.08526470977813
0e185e82-1964-4228-9e68-c0b88e837463,ar-dist-0270,3756036.059974928,3756036.420619446,3756037.6238943036,3251,55,0.3606445179320872,1.2032748577184975
acd79fbf-31b5-41ce-88cc-a93de07b0879,ar-dist-0248,3756035.949654249,3756036.282884566,3756037.625440979,2501,81,0.3332303171046078,1.3425564127974212
eb97f5ac-754a-4a30-a8dc-e3fb11ff47c7,ar-dist-0185,3756036.170725269,3756036.469115419,3756037.6255397,2501,59,0.29839015007019043,1.1564242811873555
c092986a-730f-42e5-ba7b-34aa47881645,ar-dist-0788,3756036.283966548,3756036.8053113106,3756037.9792533647,3901,57,0.5213447627611458,1.173942054156214
1c173da7-86ed-4c1b-9e9f-adcbb5419cf8,ar-dist-0176,3756037.281927743,3756037.977846072,3756038.393046093,2501,30,0.6959183290600777,0.41520002111792564
b344aafd-bc5d-4623-bf89-d6e3b3624e54,ar-dist-0945,3756036.837492079,3756037.541330409,3756038.435553373,3901,38,0.7038383297622204,0.8942229640670121
786399ea-ce8d-4ca0-bb15-92c476b2ddb1,ar-dist-0372,3756036.726592259,3756037.40680845,3756038.468017981,3741,43,0.6802161908708513,1.0612095310352743
726b3525-ee8c-48e8-8e9f-f39d88d383a6,ar-dist-0790,3756037.171554994,3756037.87535556,3756038.603589111,3901,43,0.7038005660288036,0.7282335511408746
