request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
d1454016-c9cf-47ad-944a-78e3c5d98340,ar-dist-0174,3756206.387122465,3756206.9345923336,3756207.4547795476,2501,38,0.5474698687903583,0.5201872140169144
a8b5ec3d-4da1-4a99-8f5f-f5bf45f71f60,ar-dist-0884,3756205.720712063,3756206.593028801,3756207.454693685,3901,46,0.8723167381249368,0.8616648837924004
31124fcb-f492-4d06-8334-2d50067224bb,ar-dist-0220,3756206.276509598,3756206.8925477252,3756207.7334093563,2501,42,0.6160381273366511,0.8408616310916841
956de4ab-ba6d-44d1-93ff-07b748206bab,ar-dist-0325,3756206.498499032,3756207.071299509,3756208.373345545,3251,52,0.5728004770353436,1.3020460358820856
e8025d2d-f624-4540-a4a6-76217b32b650,ar-dist-0636,3756205.898212277,3756206.6282985397,3756208.3734519235,3901,63,0.7300862628035247,1.7451533838175237
f9e5549f-c74e-49bc-81f1-e46dfec4501a,ar-dist-0698,3756206.832223791,3756207.452544843,3756208.453728631,3901,44,0.6203210516832769,1.00118378829211
5ca6e018-0484-4c52-b554-43ba2a442236,ar-dist-0637,3756205.942784687,3756206.709276867,3756208.45380437,3901,64,0.7664921800605953,1.7445275029167533
1ea4b67d-e4ff-46eb-870c-7023124fcea1,ar-dist-0256,3756206.720720453,3756207.28009608,3756208.738105856,3251,57,0.5593756269663572,1.4580097757279873
f22ec06e-63a1-4b7e-be0e-17433358b232,ar-dist-0126,3756206.054619945,3756206.776050951,3756208.773922843,1501,51,0.7214310057461262,1.9978718920610845
4021e37b-265b-48c3-8502-a297308e8ed4,ar-dist-0222,3756206.609431948,3756207.070780469,3756208.805439981,2501,52,0.46134852105751634,1.7346595120616257
3345a448-97e7-4554-aee5-576704a3640f,ar-dist-0610,3756207.275976544,3756208.079836942,3756208.858595285,3741,42,0.8038603980094194,0.778758343309164
5887c2c7-5b9f-4286-b6b7-3bb5efc8c69b,ar-dist-0583,3756206.165215362,3756206.806408761,3756208.893761451,3741,76,0.6411933992058039,2.087352689821273
d15d69d2-2a54-4c6a-9dc4-31f9d91b7a63,ar-dist-0746,3756207.054603923,3756207.816639677,3756208.894330801,3901,48,0.7620357540436089,1.0776911238208413
23bce6c1-00b3-452b-b6cc-73963be3e1ab,ar-dist-0526,3756206.943069966,3756207.6342264,3756208.894400191,3741,52,0.6911564338952303,1.2601737910881639
c20a91e5-8700-40a4-b89f-b67dab0c0d9d,ar-dist-0357,3756207.166214559,3756207.8949537594,3756208.9502496286,3741,44,0.7287392001599073,1.0552958692424
4bef7095-f89e-413b-863e-f0033a0f20bd,ar-dist-0236,3756207.498423225,3756208.274034776,3756208.998513284,2501,42,0.7756115510128438,0.7244785083457828
8e91049c-6df6-4d7c-83eb-6ea0b4a44936,ar-dist-0324,3756207.83177032,3756208.646427463,3756209.08587069,3251,42,0.8146571428515017,0.4394432273693383
0fc2fc45-f043-4b01-951b-83daf46d03d6,ar-dist-0701,3756207.60925518,3756208.37113504,3756209.1408175374,3901,39,0.761879859957844,0.7696824972517788
31d1d99a-4e09-40e3-9c72-9d2957a6e7b0,ar-dist-0723,3756207.721136357,3756208.5564376623,3756209.1822690824,3901,57,0.835301305167377,0.6258314200676978
fc9e4e0c-4aa0-4407-b2a4-7fd3250bd962,ar-dist-0331,3756207.387230509,3756208.1705564447,3756209.221983084,3741,65,0.7833259357139468,1.051426639314741
