request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
e500fac9-476e-4393-9cf8-712da209b253,ar-dist-0126,3756073.036951194,3756073.809251213,3756075.136739763,1501,51,0.7723000189289451,1.3274885499849916
69fe28c4-7057-42b2-81c5-ea3944bedc29,ar-dist-0884,3756072.710707493,3756073.596587247,3756075.323576833,3901,62,0.885879754088819,1.7269895859062672
a3197f25-d550-4f81-8f4c-7a1e985b5c28,ar-dist-0220,3756073.253855127,3756073.9376388667,3756075.3254911597,2501,58,0.6837837398052216,1.3878522929735482
55a2673d-cd4d-4911-a98d-ffca6d49625e,ar-dist-0174,3756073.362605284,3756074.017537299,3756075.3255943004,2501,48,0.6549320151098073,1.3080570013262331
2ef999e5-0dc7-4642-abc8-8885de73a4f9,ar-dist-0636,3756072.906585523,3756073.680176417,3756075.5260079578,3901,53,0.7735908939503133,1.8458315408788621
65a3d980-4e0c-4a5d-a26d-00ade18bf09d,ar-dist-0583,3756073.145597981,3756073.891931324,3756075.706309129,3741,61,0.7463333429768682,1.8143778052181005
cd29acd2-4966-4628-aa42-68ee49a5794d,ar-dist-0610,3756074.232103442,3756075.043141772,3756075.706382589,3741,32,0.8110383301973343,0.6632408169098198
3989a6d9-2472-41a1-af13-b965316b649a,ar-dist-0325,3756073.471854262,3756074.120091936,3756075.790251471,3251,54,0.6482376740314066,1.6701595350168645
5fa11c94-86bf-4b4c-a9b9-53af3a97921f,ar-dist-0222,3756073.580072647,3756074.1885021543,3756075.7907462623,2501,54,0.6084295073524117,1.6022441079840064
1292b0b4-fa1c-4815-9eec-9df4af001fd2,ar-dist-0698,3756073.797934151,3756074.5713330875,3756075.9122402635,3901,45,0.7733989367261529,1.3409071760252118
bd30d6ae-757d-441c-9865-1db8a3d68971,ar-dist-0526,3756073.906511716,3756074.66236678,3756075.912942505,3741,47,0.7558550639078021,1.2505757249891758
bc7d035b-cd8a-4df3-88e7-8c5b2a38bcdf,ar-dist-0701,3756074.558506479,3756075.423516251,3756076.034175433,3901,40,0.8650097721256316,0.6106591820716858
227443af-d67a-49d9-8bfb-c65f501b3b58,ar-dist-0236,3756074.449567783,3756075.240937695,3756076.107662686,2501,35,0.7913699117489159,0.8667249912396073
b0c8f477-c352-4a11-ba5b-c053a2d29247,ar-dist-0944,3756074.884592073,3756075.7048397763,3756076.341189879,3901,45,0.8202477032318711,0.6363501027226448
9fdadc96-13ed-43ed-97fd-692fa689194a,ar-dist-0256,3756073.688570083,3756074.379250729,3756076.341260811,3251,63,0.6906806458719075,1.9620100818574429
96c7f0ab-d4fb-49b2-a230-af11e2f88453,ar-dist-0746,3756074.015138521,3756074.835615891,3756076.394036322,3901,75,0.820477370172739,1.558420430868864
85264226-be0d-4367-af21-7b3b9ef2e61e,ar-dist-0324,3756074.775932869,3756075.61245591,3756076.440240785,3251,51,0.8365230411291122,0.8277848749421537
9df5b3d7-66cb-4c7f-9ba6-ed3e62fe6699,ar-dist-0172,3756075.644995632,3756076.1068633827,3756076.440402884,2501,39,0.4618677506223321,0.33353950129821897
4e9690aa-944d-4364-b901-662009df6e42,ar-dist-0331,3756074.340870568,3756075.241999688,3756076.474640284,3741,72,0.9011291200295091,1.2326405961066484
3f047e90-2f1f-4f8e-8550-f7c3d6c8a31a,ar-dist-0254,3756075.319436681,3756076.033527391,3756076.474810233,3251,37,0.7140907100401819,0.44128284184262156
