request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
068d10d4-f21c-4205-a55c-2eb71fe0b133,ar-dist-0884,3756113.461152005,3756114.342993104,3756115.0595985497,3901,41,0.8818410988897085,0.7166054458357394
ae0c6d95-d24d-4d24-8321-b8f2399cf400,ar-dist-0126,3756113.791189801,3756114.544505033,3756115.140325928,1501,37,0.7533152322284877,0.5958208949305117
3c0f4fe5-7a40-4536-a8ab-343c930d6068,ar-dist-0637,3756113.681064509,3756114.473831698,3756115.335799759,3901,40,0.7927671889774501,0.8619680609554052
4a5e54b4-5847-4f48-a854-d72486792fef,ar-dist-0636,3756113.651439686,3756114.427418833,3756115.494624339,3901,46,0.7759791472926736,1.0672055059112608
7f69eea6-fc06-4e70-95d4-3c172492f8eb,ar-dist-0220,3756114.010868304,3756114.6694499287,3756115.7826416357,2501,43,0.658581624738872,1.113191707059741
8a2c3264-95d7-46a1-a773-da75173a370a,ar-dist-0222,3756114.340273987,3756114.8853326407,3756115.782684645,2501,44,0.5450586536899209,0.8973520044237375
bcb85de3-f55e-4954-a515-8f0c04b17a4a,ar-dist-0174,3756114.120925645,3756114.752241891,3756115.8536866377,2501,46,0.6313162459991872,1.1014447468332946
f0032d1c-6bf1-42ce-b058-9f74f255311b,ar-dist-0698,3756114.55972329,3756115.2369160363,3756116.322594608,3901,49,0.6771927461959422,1.0856785718351603
1b329ea5-d6c2-43d3-8c5f-c1bba1b4641b,ar-dist-0746,3756114.779909591,3756115.4938589386,3756116.4996854733,3901,43,0.7139493473805487,1.005826534703374
e80ee341-a1ec-42b4-a27d-bad083470806,ar-dist-0526,3756114.66972395,3756115.41795989,3756116.499894023,3741,43,0.748235940001905,1.081934133078903
2fac3dca-1d7c-4b38-b7ea-a2ff40f1bc69,ar-dist-0325,3756114.230133696,3756114.8065168774,3756116.528728655,3251,68,0.5763831813819706,1.7222117776982486
98ad9e62-dccf-464b-a4a4-7706f354b310,ar-dist-0256,3756114.449810338,3756115.0588128283,3756116.528827554,3251,60,0.6090024900622666,1.4700147258117795
ce6a2bcb-4050-4a59-9a5f-0736160b2276,ar-dist-0701,3756115.329454374,3756116.135572431,3756116.664292565,3901,35,0.8061180571094155,0.5287201339378953
dce1fbbf-0c90-4c38-99dd-5b24c53cbc7f,ar-dist-0610,3756114.999856923,3756115.7807035707,3756116.670709461,3741,40,0.7808466479182243,0.8900058902800083
34d8fe3b-e8d0-42f9-b185-bf34ff322d5f,ar-dist-0357,3756114.890168713,3756115.680087095,3756116.79716866,3741,58,0.7899183821864426,1.1170815648511052
443c5881-be3a-4f03-8216-b97e3cbf1935,ar-dist-0583,3756113.900660712,3756114.6282292777,3756116.7973509277,3741,59,0.7275685658678412,2.1691216500476003
78f37b4a-10d0-4722-8443-73d4f6326fc2,ar-dist-0276,3756116.209600942,3756116.6704225503,3756116.9224571744,3251,37,0.46082160808146,0.252034624107182
7d468de3-b560-4c43-8bf0-026882b93944,ar-dist-0331,3756115.109230362,3756115.852688878,3756116.9777309196,3741,64,0.7434585159644485,1.1250420417636633
