request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
2028518a-3893-4a23-823c-ef2dd08e9725,ar-dist-0884,3755988.322051646,3755989.204426653,3755990.6159391124,3901,45,0.8823750070296228,1.4115124591626227
5c24fbd9-377d-43a1-aaa7-587a26e82518,ar-dist-0636,3755988.500952216,3755989.2899401626,3755990.706824619,3901,54,0.7889879466965795,1.41688445629552
8b864ab4-511b-447f-878f-999b5a764981,ar-dist-0637,3755988.531973749,3755989.378871983,3755990.8113815496,3901,56,0.8468982339836657,1.4325095666572452
b64325c9-0a6a-4bfd-813b-2ca60dbfc3fe,ar-dist-0698,3755989.374023123,3755990.138520684,3755991.0053574494,3901,38,0.7644975609146059,0.8668367653153837
4a98ba51-2273-4b88-a08f-3fa87526d38c,ar-dist-0583,3755988.74531339,3755989.5110458033,3755991.099564467,3741,62,0.7657324131578207,1.5885186637751758
b2ea1432-e808-495b-bbaa-1eb3882a243e,ar-dist-0220,3755988.847527984,3755989.587328193,3755991.099605468,2501,52,0.7398002087138593,1.5122772753238678
f96d81e6-dae9-4979-ac5f-6b970f5ca80f,ar-dist-0526,3755989.480145602,3755990.2264286787,3755991.2848240747,3741,48,0.7462830767035484,1.0583953959867358
844c6ba8-e361-4957-b7b6-3491ce61bd6f,ar-dist-0325,3755989.05921978,3755989.7568024807,3755991.379826157,3251,56,0.6975827007554471,1.6230236762203276
6a7ad2fd-5324-473b-b7da-78575087b84a,ar-dist-0256,3755989.268673697,3755989.9442621893,3755991.427928286,3251,56,0.6755884923040867,1.4836660968139768
56e71c17-9f82-4d5e-8a12-edd4e503accf,ar-dist-0701,3755990.110841605,3755991.003358291,3755991.655794039,3901,35,0.8925166861154139,0.6524357479065657
ae26a561-6a6f-4e99-9933-7fc9dab2930c,ar-dist-0357,3755989.690634541,3755990.515125175,3755991.656010998,3741,42,0.8244906337931752,1.1408858229406178
e86a4664-0051-4606-b281-1af5ebd181cb,ar-dist-0126,3755988.637483454,3755989.469744559,3755991.6871623793,1501,55,0.832261105068028,2.2174178203567863
275bca15-ff4f-493a-a8b3-c30b742fcd32,ar-dist-0174,3755988.953569793,3755989.688929984,3755991.739282243,2501,57,0.7353601907379925,2.0503522590734065
1c86215d-40f9-4c1d-866e-098993dc0c85,ar-dist-0610,3755989.794826392,3755990.6127835,3755991.77622539,3741,54,0.8179571079090238,1.1634418899193406
3d97370d-1104-42e7-8a19-db91aa1030f4,ar-dist-0236,3755990.005937922,3755990.810274224,3755991.8641829425,2501,51,0.8043363019824028,1.0539087187498808
1379c94a-fa43-4b46-88c7-dd967d68056c,ar-dist-0222,3755989.163404311,3755989.838547942,3755991.924365796,2501,62,0.6751436311751604,2.0858178539201617
25b5529e-0c1e-4ad4-92af-23e83615baa6,ar-dist-0331,3755989.901268359,3755990.808648286,3755992.0790745406,3741,66,0.9073799271136522,1.2704262547194958
db346177-c62f-43d6-b1d4-9e455f0f7a4d,ar-dist-0746,3755989.584479244,3755990.411903401,3755992.1217348697,3901,64,0.8274241569451988,1.7098314687609673
6ae8607d-1f5a-4efa-87ad-ac2957153df5,ar-dist-0324,3755990.321422113,3755991.186425627,3755992.121807599,3251,45,0.8650035141035914,0.9353819717653096
3c4ca20a-b81e-4df4-8968-d8a4bf70183d,ar-dist-0276,3755990.954234848,3755991.686398658,3755992.28825857,3251,39,0.7321638101711869,0.6018599118106067
f2038766-3b50-4b8c-a2da-c588b6ebbc45,ar-dist-0723,3755990.21667892,3755991.098285901,3755992.2884443393,3901,64,0.8816069806925952,1.1901584384031594
bb81a52a-4c6f-4204-95b2-8c20d1148a3e,ar-dist-0031,3755991.058854799,3755991.6860475657,3755992.2885128204,851,40,0.6271927668713033,0.6024652547203004
eb20b179-e19b-4a26-87af-8be7b69af27d,ar-dist-0944,3755990.42709524,3755991.283225719,3755992.343648378,3901,52,0.8561304789036512,1.060422658920288
